"Problem","Severity","Source File","Source Line","Source Column","Source Type","Source Method","Sink File","Sink Line","Sink Column","Rule","Description","URL","Category","Engine"
"1","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\CustomWelcomeMatController.cls","29","39","CustomWelcomeMatController","setModalOffByUser","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\CustomWelcomeMatController.cls","43","18","ApexFlsViolationRule","Salesforce Graph Engine couldn't resolve the parameter passed to [UPDATE] operation with field(s) [Unknown]. Confirm that this operation has the necessary FLS checks.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"2","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\LeadConversionAuraController.cls","4","47","LeadConversionAuraController","fetchLeadRecords","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\LeadConversionAuraController.cls","40","44","ApexFlsViolationRule","FLS validation is missing for [READ] operation on [Lead] with field(s) [IsConverted].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"3","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","36","24","SelectEmailTemplateController","saveLeadTemplates","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","69","28","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Lead_Follow_Up_Sequence__c] with field(s) [Unknown].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"4","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","36","24","SelectEmailTemplateController","saveLeadTemplates","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","69","28","ApexFlsViolationRule","FLS validation is missing for [UPDATE] operation on [Lead_Follow_Up_Sequence__c] with field(s) [Unknown].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"5","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\QuickBooksController.cls","181","24","QuickBooksController","getVendorsAndExpenses","","","","LimitReached","Graph Engine reached the path expansion upper limit (1608). The analysis preemptively stopped running on this path to prevent an OutOfMemory error. Rerun Graph Engine and target this entry method with a larger heap space.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/working-with-sfge/#understand-outofmemory-errors","InternalExecutionError","sfge"
"6","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SendContactListEmailController.cls","62","17","SendContactListEmailController","sendEmail","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexIdValue:length, vertex=MethodCallExpressionVertex{fullMethodName=templateId.length, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[templateId], BeginLine=65, DefiningType_CaseSafe=sendcontactlistemailcontroller, LastChild=true, DefiningType=SendContactListEmailController, EndLine=65, Name_CaseSafe=templateid, childIdx=0, BeginColumn=65, ReferenceType=METHOD, Name=templateId}}}, chainedNames=[templateId], properties={FirstChild=true, FullMethodName=templateId.length, BeginLine=65, FullMethodName_CaseSafe=templateid.length, DefiningType_CaseSafe=sendcontactlistemailcontroller, LastChild=false, DefiningType=SendContactListEmailController, EndLine=65, MethodName_CaseSafe=length, childIdx=0, BeginColumn=76, MethodName=length}}: com.salesforce.graph.symbols.apex.ApexIdValue.apply(ApexIdValue.java:89);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"7","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\deleteErrorHandler.cls","5","26","deleteErrorHandler","deleteRecord","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexListValue:getSObjectType, vertex=MethodCallExpressionVertex{fullMethodName=list1.getSObjectType, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[list1], BeginLine=9, DefiningType_CaseSafe=deleteerrorhandler, LastChild=true, DefiningType=deleteErrorHandler, EndLine=9, Name_CaseSafe=list1, childIdx=0, BeginColumn=34, ReferenceType=METHOD, Name=list1}}}, chainedNames=[list1], properties={FirstChild=true, FullMethodName=list1.getSObjectType, BeginLine=9, FullMethodName_CaseSafe=list1.getsobjecttype, DefiningType_CaseSafe=deleteerrorhandler, LastChild=true, DefiningType=deleteErrorHandler, EndLine=9, MethodName_CaseSafe=getsobjecttype, childIdx=0, BeginColumn=40, MethodName=getSObjectType}}: com.salesforce.graph.symbols.apex.ApexListValue.apply(ApexListValue.java:310);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"8","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\deleteErrorHandler.cls","19","26","deleteErrorHandler","deleteErrorSms","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexListValue:getSObjectType, vertex=MethodCallExpressionVertex{fullMethodName=list1.getSObjectType, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[list1], BeginLine=23, DefiningType_CaseSafe=deleteerrorhandler, LastChild=true, DefiningType=deleteErrorHandler, EndLine=23, Name_CaseSafe=list1, childIdx=0, BeginColumn=34, ReferenceType=METHOD, Name=list1}}}, chainedNames=[list1], properties={FirstChild=true, FullMethodName=list1.getSObjectType, BeginLine=23, FullMethodName_CaseSafe=list1.getsobjecttype, DefiningType_CaseSafe=deleteerrorhandler, LastChild=true, DefiningType=deleteErrorHandler, EndLine=23, MethodName_CaseSafe=getsobjecttype, childIdx=0, BeginColumn=40, MethodName=getSObjectType}}: com.salesforce.graph.symbols.apex.ApexListValue.apply(ApexListValue.java:310);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"9","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SendLeadEmailController.cls","63","17","SendLeadEmailController","sendEmail","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexIdValue:length, vertex=MethodCallExpressionVertex{fullMethodName=templateId.length, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[templateId], BeginLine=66, DefiningType_CaseSafe=sendleademailcontroller, LastChild=true, DefiningType=SendLeadEmailController, EndLine=66, Name_CaseSafe=templateid, childIdx=0, BeginColumn=65, ReferenceType=METHOD, Name=templateId}}}, chainedNames=[templateId], properties={FirstChild=true, FullMethodName=templateId.length, BeginLine=66, FullMethodName_CaseSafe=templateid.length, DefiningType_CaseSafe=sendleademailcontroller, LastChild=false, DefiningType=SendLeadEmailController, EndLine=66, MethodName_CaseSafe=length, childIdx=0, BeginColumn=76, MethodName=length}}: com.salesforce.graph.symbols.apex.ApexIdValue.apply(ApexIdValue.java:89);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"10","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\BatchToDeleteVendors.cls","39","17","BatchToDeleteVendors","execute","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexListValue:getSObjectType, vertex=MethodCallExpressionVertex{fullMethodName=UservendorList.getSObjectType, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[UservendorList], BeginLine=41, DefiningType_CaseSafe=batchtodeletevendors, LastChild=true, DefiningType=BatchToDeleteVendors, EndLine=41, Name_CaseSafe=uservendorlist, childIdx=0, BeginColumn=57, ReferenceType=METHOD, Name=UservendorList}}}, chainedNames=[UservendorList], properties={FirstChild=false, FullMethodName=UservendorList.getSObjectType, BeginLine=41, FullMethodName_CaseSafe=uservendorlist.getsobjecttype, DefiningType_CaseSafe=batchtodeletevendors, LastChild=true, DefiningType=BatchToDeleteVendors, EndLine=41, MethodName_CaseSafe=getsobjecttype, childIdx=1, BeginColumn=72, MethodName=getSObjectType}}: com.salesforce.graph.symbols.apex.ApexListValue.apply(ApexListValue.java:310);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"11","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences.cls","3","17","PostInstallScriptCadences","onInstall","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences.cls","59","34","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [PermissionSetAssignment] with field(s) [Unknown].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"12","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences.cls","3","17","PostInstallScriptCadences","onInstall","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences.cls","59","34","ApexFlsViolationRule","FLS validation is missing for [UPDATE] operation on [PermissionSetAssignment] with field(s) [Unknown].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"13","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrWebHook.cls","6","34","TwnsqrWebHook","doPost","","","","LimitReached","Graph Engine reached the path expansion upper limit (1608). The analysis preemptively stopped running on this path to prevent an OutOfMemory error. Rerun Graph Engine and target this entry method with a larger heap space.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/working-with-sfge/#understand-outofmemory-errors","InternalExecutionError","sfge"
"14","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences10.cls","2","17","PostInstallScriptCadences10","onInstall","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnimplementedMethodException: ApexListValue:getSObjectType, vertex=MethodCallExpressionVertex{fullMethodName=listRecommendationDelete.getSObjectType, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[listRecommendationDelete], BeginLine=15, DefiningType_CaseSafe=postinstallscriptcadences10, LastChild=true, DefiningType=PostInstallScriptCadences10, EndLine=15, Name_CaseSafe=listrecommendationdelete, childIdx=0, BeginColumn=53, ReferenceType=METHOD, Name=listRecommendationDelete}}}, chainedNames=[listRecommendationDelete], properties={FirstChild=true, FullMethodName=listRecommendationDelete.getSObjectType, BeginLine=15, FullMethodName_CaseSafe=listrecommendationdelete.getsobjecttype, DefiningType_CaseSafe=postinstallscriptcadences10, LastChild=true, DefiningType=PostInstallScriptCadences10, EndLine=15, MethodName_CaseSafe=getsobjecttype, childIdx=0, BeginColumn=78, MethodName=getSObjectType}}: com.salesforce.graph.symbols.apex.ApexListValue.apply(ApexListValue.java:310);com.salesforce.graph.symbols.PathScopeVisitor.handleApexValueMethod(PathScopeVisitor.java:1487);com.salesforce.graph.symbols.PathScopeVisitor.afterVisit(PathScopeVisitor.java:1242);com.salesforce.graph.symbols.DefaultSymbolProviderVertexVisitor.afterVisit(DefaultSymbolProviderVertexVisitor.java:800);com.salesforce.graph.vertex.MethodCallExpressionVertex.afterVisit(MethodCallExpressionVertex.java:79);com.salesforce.graph.ops.expander.ApexPathExpander.performAfterVisit(ApexPathExpander.java:577)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"15","1","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_BatchDeleteErrors.cls","13","17","Lmr_BatchDeleteErrors","execute","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_BatchDeleteErrors.cls","19","18","ApexFlsViolationRule","CRUD validation is missing for [DELETE] operation on [SObject].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"16","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScript.cls","3","17","PostInstallScript","onInstall","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"17","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\sch_RingCentralCallout.cls","10","17","sch_RingCentralCallout","execute","","","","LimitReached","Graph Engine reached the path expansion upper limit (1608). The analysis preemptively stopped running on this path to prevent an OutOfMemory error. Rerun Graph Engine and target this entry method with a larger heap space.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/working-with-sfge/#understand-outofmemory-errors","InternalExecutionError","sfge"
"18","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences2.cls","3","17","PostInstallScriptCadences2","onInstall","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"19","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\LeadFollowUpService.cls","3","24","LeadFollowUpService","createLeadFollowUpRecords","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"20","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_SendEmail_sch.cls","6","17","Lmr_SendEmail_sch","execute","","","","LimitReached","Graph Engine reached the path expansion upper limit (1608). The analysis preemptively stopped running on this path to prevent an OutOfMemory error. Rerun Graph Engine and target this entry method with a larger heap space.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/working-with-sfge/#understand-outofmemory-errors","InternalExecutionError","sfge"
"21","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\BatchLeadActivityCount.cls","18","17","BatchLeadActivityCount","execute","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"22","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\PostInstallScriptCadences9.cls","2","15","PostInstallScriptCadences9","onInstall","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: TodoException: What should I do if ApexValue from StandardCondition is not an ApexBooleanValue, ApexCustomValue, ApexForLoopValue, or ApexSingleValue: ApexValue=ApexValue(ApexSoqlValue) {status=INITIALIZED, declarationVertex=null, valueVertex=SoqlExpression{properties={FirstChild=true, BeginLine=5, DefiningType_CaseSafe=postinstallscriptcadences9, LastChild=false, Query=[SELECT Id, Folder__c, Body__c, Object__c, RecordTypeId, Name FROM LMR_TemplateSms__c limit 10000], DefiningType=PostInstallScriptCadences9, EndLine=5, childIdx=0, BeginColumn=50}}, resolvedValues={}, returnedFrom=null, invocableExpression=null, method=null}, parent=BooleanExpression{properties={FirstChild=true, Operator=&&, BeginLine=9, DefiningType_CaseSafe=postinstallscriptcadences9, LastChild=true, DefiningType=PostInstallScriptCadences9, EndLine=9, childIdx=0, BeginColumn=23}}, vertex=MethodCallExpressionVertex{fullMethodName=template.Body__c.containsIgnoreCase, referenceVertex=LazyVertex{result=ReferenceExpression{properties={FirstChild=true, Names=[template, Body__c], BeginLine=9, DefiningType_CaseSafe=postinstallscriptcadences9, LastChild=false, DefiningType=PostInstallScriptCadences9, EndLine=9, Name_CaseSafe=template.body__c, childIdx=0, BeginColumn=55, ReferenceType=METHOD, Name=template.Body__c}}}, chainedNames=[template, Body__c], properties={FirstChild=false, FullMethodName=template.Body__c.containsIgnoreCase, BeginLine=9, FullMethodName_CaseSafe=template.body__c.containsignorecase, DefiningType_CaseSafe=postinstallscriptcadences9, LastChild=true, DefiningType=PostInstallScriptCadences9, EndLine=9, MethodName_CaseSafe=containsignorecase, childIdx=1, BeginColumn=72, MethodName=containsIgnoreCase}}: com.salesforce.rules.fls.apex.operations.SchemaBasedValidationAnalyzer.getDerivedApexValue(SchemaBasedValidationAnalyzer.java:89);com.salesforce.rules.fls.apex.operations.SchemaBasedValidationAnalyzer.getDerivedApexValue(SchemaBasedValidationAnalyzer.java:117);com.salesforce.rules.fls.apex.operations.SchemaBasedValidationAnalyzer.checkForValidation(SchemaBasedValidationAnalyzer.java:74);com.salesforce.rules.fls.apex.operations.FlsValidationCentral.checkSchemaBasedFlsValidation(FlsValidationCentral.java:71);com.salesforce.rules.fls.apex.AbstractFlsVisitor.afterVisit(AbstractFlsVisitor.java:80);com.salesforce.graph.vertex.StandardConditionVertex$Positive.afterVisit(StandardConditionVertex.java:108)","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"23","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_TaskAutomation_sch.cls","6","17","Lmr_TaskAutomation_sch","execute","","","","LimitReached","Graph Engine reached the path expansion upper limit (1608). The analysis preemptively stopped running on this path to prevent an OutOfMemory error. Rerun Graph Engine and target this entry method with a larger heap space.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/working-with-sfge/#understand-outofmemory-errors","InternalExecutionError","sfge"
"24","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\batchCadence.cls","25","17","batchCadence","execute","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"25","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\LiveLoopSalesAPI.cls","5","24","LiveLoopSalesAPI","soldProperty","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"26","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\batchCadenceEmail.cls","11","17","batchCadenceEmail","execute","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
"27","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\BatchOpportunityActivityCount.cls","17","17","BatchOpportunityActivityCount","execute","","","","InternalExecutionError","Path evaluation timed out after 900000 ms","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","InternalExecutionError","sfge"
